feature_name,horizon_coverage,source_column,feature_formula,shift_before_rolling,current_day_tnout_included,future_observation_possible,missing_value_handling,fold_boundary_handling,leakage_status,evidence_script,notes
TNout_lag1,H1/H3/H5,TNout,TNout(t-1),N/A,NO,NO,dropna after feature build,"computed globally, uses past history across fold boundary",PASS_no_future_leakage,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Lag uses only prior day TNout.
TNout_lag3,H3/H5_v2,TNout,TNout(t-3),N/A,NO,NO,dropna after feature build,same,PASS_no_future_leakage,src/build_ulsan_npz_v2.py,Not present in legacy H1/H3 non-v2 build.
TNout_lag5,H3/H5_v2,TNout,TNout(t-5),N/A,NO,NO,dropna after feature build,same,PASS_no_future_leakage,src/build_ulsan_npz_v2.py,Lagged strictly backward.
TNout_lag7,H3/H5_v2,TNout,TNout(t-7),N/A,NO,NO,dropna after feature build,same,PASS_no_future_leakage,src/build_ulsan_npz_v2.py,Lagged strictly backward.
TNout_roll7,H1/H3/H5,TNout,"mean(TNout.shift(1), window=7)",shift(1),NO,NO,dropna after feature build,same,PASS_no_future_leakage,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Explicit shift(1) prevents current-day TNout leakage.
TNout_roll14,H1/H3/H5,TNout,"mean(TNout.shift(1), window=14)",shift(1),NO,NO,dropna after feature build,same,PASS_no_future_leakage,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Explicit shift(1) prevents current-day TNout leakage.
TNout_roll30,H3/H5_v2,TNout,"mean(TNout.shift(1), window=30)",shift(1),NO,NO,dropna after feature build,same,PASS_no_future_leakage,src/build_ulsan_npz_v2.py,Expanded memory in v2 build.
temp_mean_c,H1/H3/H5,temp_mean_c,raw temp_mean_c(t),N/A,N/A,NO,numeric coercion then dropna,same,PASS_no_future_leakage_but_requires_issue_time_availability,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Uses current-day weather measurement.
temp_roll7/temp_roll14/temp_roll30,H1/H3/H5 (roll14/30 in v2),temp_mean_c,rolling mean over recent days (includes day t),no pre-shift,N/A,NO,dropna,same,PASS_no_future_leakage_but_current_day_dependency,src/build_ulsan_npz.py + src/build_ulsan_npz_v2.py,No forward-looking window; includes current day.
precip_total_mm,H1/H3/H5,precip_total_mm,raw precipitation(t),N/A,N/A,NO,numeric coercion then dropna,same,PASS_no_future_leakage_but_requires_issue_time_availability,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Current-day precipitation is used as predictor.
precip_sum3/7/14,H1/H3/H5 (7/14 in v2),precip_total_mm,rolling sum over recent days (includes day t),no pre-shift,N/A,NO,dropna,same,PASS_no_future_leakage_but_current_day_dependency,src/build_ulsan_npz.py + src/build_ulsan_npz_v2.py,No future values enter rolling sums.
Inflow/TNin/TOCin/BODin raw + rolling,H1/H3/H5,"Inflow,TNin,TOCin,BODin",raw(t) and rolling means over recent days,no pre-shift,N/A,NO,dropna; BODin may be synthetic NaN column when missing,same,PASS_no_future_leakage_but_current_day_dependency,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Current-day process measurements included; no forward windows.
C_N and C_N_roll14,H1/H3/H5 (roll14 in v2),"TOCin,TNin",C_N = TOCin/(TNin+1e-6); optional rolling mean,no pre-shift,N/A,NO,dropna,same,PASS_no_future_leakage,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Ratio built from same-day influent variables.
"Inflow_x_precip3,temp_x_CN,Inflow_x_TNin",H3/H5_v2,derived from existing predictors,pairwise interactions of contemporaneous/rolling inputs,inherits parent feature shift,N/A,NO,dropna,same,PASS_no_future_leakage,src/build_ulsan_npz_v2.py,No interaction uses future columns.
"sin_doy, cos_doy",H1/H3/H5,Date,sin/cos(day_of_year),N/A,N/A,NO,always available from date,same,PASS_no_future_leakage,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,Calendar encoding only.
forward_fill_or_interpolation,H1/H3/H5,N/A,not used in feature builders,N/A,N/A,NO,N/A,N/A,PASS_not_detected_in_feature_scripts,src/build_ulsan_npz.py + src/build_ulsan_npz_H1.py + src/build_ulsan_npz_v2.py,"No .ffill(), .bfill(), or .interpolate() calls in feature engineering scripts."
