record_type,part,horizon,fold,model_family,feature_date_train_start,feature_date_train_end,target_date_train_start,target_date_train_end,feature_date_validation_start,feature_date_validation_end,target_date_validation_start,target_date_validation_end,feature_date_test_start,feature_date_test_end,target_date_test_start,target_date_test_end,outer_train_rows,training_rows,validation_rows,test_rows,boundary_condition,boundary_result,overlap_target_dates_count,overlap_target_dates,offending_training_rows,boundary_reference_date,rows_to_remove,effective_purge_days,validation_tail_size,last_15_percent_rule,h_day_purge_applied,predictions_relative_to_required_purge,evidence,notes
canonical_temporal_index,A,1,1,all_models,2021-01-18,2021-08-20,2021-01-19,2021-08-21,2021-08-21,2021-09-28,2021-08-22,2021-09-29,2021-09-29,2022-06-09,2021-09-30,2022-06-10,254,215,39,254,NA,NA,NA,NA,NA,NA,NA,NA,39,YES,NO,before_required_purge,results/tables/blocked_cv_assignment_matrix_H1.csv + src/export_methods_figure_cv_csvs.py_VAL_FRAC_0.15,target_date = feature_date + horizon verified in feature builders (y=TNout.shift(-h)).
outer_train_test_purge,B,1,1,all_models_using_blocked_cv,2021-01-18,2021-09-28,2021-01-19,2021-09-29,NA,NA,NA,NA,2021-09-29,2022-06-09,2021-09-30,2022-06-10,254,254,0,254,max(outer_training_target_date) < min(test_feature_date),FAIL,1,2021-09-29,2021-09-28->2021-09-29,2021-09-29,1,1,NA,NA,NO,before_required_purge,"TimeSeriesSplit with no gap in src/save_fold_predictions.py, src/run_linear_alarm.py, src/save_hgbr_predictions_v2.py, src/train_bcr_tcn_v11.py",No purge-gap parameter used in any blocked CV training/prediction script.
inner_train_validation_purge,C,1,1,TCN/BCR-TCN,2021-01-18,2021-08-20,2021-01-19,2021-08-21,2021-08-21,2021-09-28,2021-08-22,2021-09-29,NA,NA,NA,NA,254,215,39,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,1,2021-08-21,2021-08-20->2021-08-21,2021-08-21,1,1,39,YES,NO,before_required_purge,src/train_bcr_tcn_v11.py cut=floor(len(tr_idx)*(1-val_frac)); val_frac=0.15; no purge step,"Chronological validation tail exists, but contiguous split causes horizon-dependent leakage at boundary."
inner_train_validation_purge,C,1,1,HGBR,2021-01-18,2021-09-28,2021-01-19,2021-09-29,2021-01-24,2021-09-08,2021-01-25,2021-09-09,NA,NA,NA,NA,254,228,26,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,26,2021-01-24;2021-01-27;2021-02-02;2021-02-06;2021-02-11;2021-02-17;2021-02-20;2021-03-27;2021-04-07;2021-04-24;2021-05-15;2021-05-18;2021-05-22;2021-06-03;2021-06-19;2021-07-04;2021-07-17;2021-07-22;2021-07-27;2021-08-04;2021-08-07;2021-08-11;2021-08-22;2021-08-26;2021-09-03;2021-09-08,2021-01-23->2021-01-24;2021-01-26->2021-01-27;2021-02-01->2021-02-02;2021-02-05->2021-02-06;2021-02-10->2021-02-11;2021-02-16->2021-02-17;2021-02-19->2021-02-20;2021-03-26->2021-03-27;2021-04-06->2021-04-07;2021-04-23->2021-04-24;2021-05-14->2021-05-15;2021-05-17->2021-05-18;2021-05-21->2021-05-22;2021-06-02->2021-06-03;2021-06-18->2021-06-19;2021-07-03->2021-07-04;2021-07-16->2021-07-17;2021-07-21->2021-07-22;2021-07-26->2021-07-27;2021-08-03->2021-08-04;2021-08-06->2021-08-07;2021-08-10->2021-08-11;2021-08-21->2021-08-22;2021-08-25->2021-08-26;2021-09-02->2021-09-03;2021-09-07->2021-09-08,2021-01-24,26,249,26,NO,NO,before_required_purge,"src/train_hgbr_optuna_v2.py and src/save_hgbr_predictions_v2.py use HistGradientBoostingRegressor(early_stopping=True, validation_fraction=0.1, random_state=42)","Validation split reconstructed using sklearn random split assumption (shuffle=True, random_state=42)."
inner_train_validation_purge,C,1,1,ElasticNet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,"src/save_fold_predictions.py and src/run_linear_alarm.py fit Pipeline(StandardScaler, ElasticNet) directly on outer train folds.",No explicit inner validation tail in final fold fit; hyperparameter selection handled separately.
inner_train_validation_purge,C,1,1,Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/train_main_linear.py evaluates Ridge grid via TimeSeriesSplit; no saved ridge fold predictions.,No explicit inner validation tail in final fold fit artifacts.
inner_train_validation_purge,C,1,1,HybridRank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py uses tr = rows with fold != test_fold; no subtrain/validation split.,Cross-fold training rows used directly for objective evaluation; no explicit validation tail.
inner_train_validation_purge,C,1,1,point blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py point-hybrid weights selected by train MAE on tr folds.,No explicit inner validation tail; objective evaluated on train folds only.
inner_train_validation_purge,C,1,1,risk-score blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py rank weights selected on tr folds; budget-specific guarded objective optional.,No explicit inner validation tail; objective evaluated on train folds only.
canonical_temporal_index,A,1,2,all_models,2021-01-18,2022-03-24,2021-01-19,2022-03-25,2022-03-25,2022-06-09,2022-03-26,2022-06-10,2022-06-10,2023-02-18,2022-06-11,2023-02-19,508,431,77,254,NA,NA,NA,NA,NA,NA,NA,NA,77,YES,NO,before_required_purge,results/tables/blocked_cv_assignment_matrix_H1.csv + src/export_methods_figure_cv_csvs.py_VAL_FRAC_0.15,target_date = feature_date + horizon verified in feature builders (y=TNout.shift(-h)).
