record_type,model_family,horizon_scope,fold_scope,item,implementation,fit_scope,validation_construction,uses_outer_test_information,uses_validation_outcomes,leakage_status,evidence_script,evidence_artifact,notes
preprocessing,Persistence,H1/H3/H5,fold1-3,baseline_prediction_rule,persistence prediction uses lagged y (no parameter fitting),no_fitting_object,none,NO,NO,PASS,src/run_linear_alarm.py + src/run_linear_alarm_v2.py,results/predictions/persistence_H1_preds.csv;results/predictions/persistence_H3_preds.csv;results/predictions/persistence_H5_preds.csv,No scaler/imputer/selector fitted.
preprocessing,ElasticNet,H1/H3/H5,fold1-3,scaling_and_fit,"Pipeline(StandardScaler, ElasticNet) fit inside outer fold loops",outer_training_only_per_fold,no_inner_tail_in_final_fit,NO,NO,PASS_for_scaler_isolation,src/save_fold_predictions.py + src/run_linear_alarm.py + src/run_linear_alarm_v2.py,results/predictions/enet_a0.1_l0.5_H1_preds.csv;results/predictions/enet_a0.1_l0.5_H3_preds.csv;results/predictions/enet_a0.1_l0.5_v2_H5_preds.csv,Scaler fit scope is leakage-safe per fold; outer purge issue handled separately.
preprocessing,Ridge,H1/H3/H5,fold1-3 (evaluation only),scaling_and_fit,"Pipeline(StandardScaler, Ridge) in main linear trainer",outer_training_only_per_fold_for_cv_rows,no_saved_fold_predictions,NO,NO,PASS_for_scaler_isolation,src/train_main_linear.py,results/metrics/main_linear_metrics.json,Prediction artifacts missing; preprocessing logic itself is fold-local.
preprocessing,HGBR,H3/H5 (H1 artifact missing),fold1-3,tree_fit_and_internal_validation,"HistGradientBoostingRegressor(... early_stopping=True, validation_fraction=0.1, random_state=42)",outer_training_only_but_internal_random_validation_split,random_holdout_from_outer_train_not_chronological,NO,YES_internal_validation_outcomes_used_for_early_stopping,FAIL_temporal_validation_is_not_blocked,src/train_hgbr_optuna_v2.py + src/save_hgbr_predictions_v2.py,results/hgbr/hgbr_optuna_H3.json;results/hgbr/hgbr_optuna_H5_v2.json,Chronological isolation of inner validation is not enforced for tree training.
preprocessing,TCN/BCR-TCN,H5_v2_artifact_present,fold1-3,standardization_and_class_weighting,mu/sd and pos_weight computed from sub_train indices only,inner_subtrain_only,chronological_tail_val_frac_0.15_without_horizon_gap,NO,YES_validation_recall_used_for_epoch_selection,FAIL_missing_horizon_purge_between_subtrain_and_validation,src/train_bcr_tcn_v11.py,results/metrics/bcr_tcn_v11_H5_v2_meta.json,Validation tail is chronological but contiguous; boundary overlap exists for H>0.
preprocessing,HybridRank,H5_runs,fold1-3,rank_normalization_and_weighting,rank01 normalization and weighted score blend per fold/tau,train_rows_for_weight_tuning;test_rows_for_final_scoring,no_explicit_inner_validation_split,NO_for_weight_tuning,YES_training_outcomes_used_for_weight_objective,PASS_for_weight_tuning_scope_but_retrospective_scoring_context,src/make_hybrid_rank_ensemble_v2.py,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/run_config.json;results/hybrid_rank_v2_runs/20260220_131820_H5_hybrid_rank_v2/run_config.json,Fold-specific score ranking is computed over full held-out fold distributions.
preprocessing,point blend,H5_runs,fold1-3,weighted_point_blend,weights selected by minimizing MAE on train folds only,train_rows_only_for_weight_selection,no_explicit_inner_validation_split,NO,NO,PASS_for_fit_scope,src/make_hybrid_rank_ensemble_v2.py,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/models/point_hybrid_weights_H5.csv,Blend depends on base predictions that inherit upstream boundary/selection issues.
preprocessing,risk-score blend,H5_runs,fold1-3,weighted_rank_blend,weights selected on train folds with policy-specific/guarded objective,train_rows_only_for_weight_selection,no_explicit_inner_validation_split,NO_for_weight_tuning,YES_training_outcomes_used_for_weight_objective,PASS_for_fit_scope_but_retrospective_policy_usage,src/make_hybrid_rank_ensemble_v2.py,results/hybrid_rank_v2_runs/20260219_195429_H5_hybrid_rank_v2/models/rank_hybrid_weights_H5.csv,Operational benchmarking still uses full held-out fold score ordering.
model_selection,ElasticNet,H1/H3/H5,global_blocked_cv,hyperparameter_selection,grid over alpha x l1_ratio; model variants selected by OOF metrics,full_dataset_blocked_cv_not_nested_against_reporting,TimeSeriesSplit_n_splits_3,YES,YES,FAIL_outer_test_influenced_model_choice,src/train_main_linear.py + src/run_linear_alarm.py + src/paper_make_fig2_point_forecast_generalization.py,results/metrics/main_linear_metrics_H1.json;results/metrics/main_linear_metrics_H3.json;results/metrics/main_linear_metrics_H5.json;results/final_tables/results_discussion_csvs/Table1_point_forecast_summary_H1_H3_H5_main_linear.csv,H5 best model differs by table context (main_linear best ENet vs guarded comparison ENet variant).
model_selection,Ridge,H1/H3/H5,global_blocked_cv,hyperparameter_selection,"alpha grid [0.01,0.1,1,10,100] evaluated via TimeSeriesSplit",full_dataset_blocked_cv,TimeSeriesSplit_n_splits_3,YES,NO_explicit_inner_tail,FAIL_not_nested_and_predictions_missing,src/train_main_linear.py,results/metrics/main_linear_metrics.json,No released ridge prediction files to verify corrected evaluation.
