execution_order,model,horizon,existing_artifact_status,audit_decision,required_action,hyperparameter_strategy,inner_validation_strategy,outer_test_strategy,common_test_date_requirement,random_seeds,expected_output,reason,estimated_compute_class,ready_to_run
1,Persistence,1,available,recalculate metrics from existing predictions,metrics_regeneration_only_on_corrected_splits,none_not_applicable,none_not_applicable,recompute_metrics_from_existing_predictions_on_frozen_outer_test_dates,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,none,revision_2026/04_corrected_runs/Persistence_H1_predictions_and_metrics,"No fitting leakage object, but purge and common-date corrections are needed.",low,YES
2,Persistence,3,available,recalculate metrics from existing predictions,metrics_regeneration_only_on_corrected_splits,none_not_applicable,none_not_applicable,recompute_metrics_from_existing_predictions_on_frozen_outer_test_dates,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,none,revision_2026/04_corrected_runs/Persistence_H3_predictions_and_metrics,Predictions exist; recompute metrics on corrected purged/canonical dates.,low,YES
3,Persistence,5,available,recalculate metrics from existing predictions,metrics_regeneration_only_on_corrected_splits,none_not_applicable,none_not_applicable,recompute_metrics_from_existing_predictions_on_frozen_outer_test_dates,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,none,revision_2026/04_corrected_runs/Persistence_H5_predictions_and_metrics,Use canonical 747 set for corrected benchmark comparisons.,low,YES
4,Ridge,1,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,published_alpha_grid_selected_only_within_purged_inner_split,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/Ridge_H1_predictions_and_metrics,No released ridge prediction CSV; rerun fixed published alpha grid on corrected folds is needed before comparison.,medium,NO_pending_training_authorization
5,Ridge,3,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,published_alpha_grid_selected_only_within_purged_inner_split,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/Ridge_H3_predictions_and_metrics,No released ridge prediction CSV; rerun fixed published alpha grid on corrected folds is needed before comparison.,medium,NO_pending_training_authorization
6,Ridge,5,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,published_alpha_grid_selected_only_within_purged_inner_split,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/Ridge_H5_predictions_and_metrics,No released ridge prediction CSV; rerun fixed published alpha grid on corrected folds is needed before comparison.,medium,NO_pending_training_authorization
7,ElasticNet,1,available,retrain and revalidate because leakage affected fitting,nested_revalidation_required_before_any_final_model_lock,tune_only_within_outer_train_using_purged_inner_selection,strict_purged_inner_validation_required,single_pass_outer_test_prediction_after_nested_selection,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,fixed_seed_42_plus_family_specific_seed_manifest,revision_2026/04_corrected_runs/ElasticNet_H1_predictions_and_metrics,Hyperparameter/model selection used the same blocked folds later reported; nested revalidation required.,high,NO_pending_training_authorization
8,ElasticNet,3,available,retrain and revalidate because leakage affected fitting,nested_revalidation_required_before_any_final_model_lock,tune_only_within_outer_train_using_purged_inner_selection,strict_purged_inner_validation_required,single_pass_outer_test_prediction_after_nested_selection,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,fixed_seed_42_plus_family_specific_seed_manifest,revision_2026/04_corrected_runs/ElasticNet_H3_predictions_and_metrics,OOF-driven variant selection across operating points requires nested revalidation on corrected folds.,high,NO_pending_training_authorization
9,ElasticNet,5,available,retrain and revalidate because leakage affected fitting,nested_revalidation_required_before_any_final_model_lock,tune_only_within_outer_train_using_purged_inner_selection,strict_purged_inner_validation_required,single_pass_outer_test_prediction_after_nested_selection,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,fixed_seed_42_plus_family_specific_seed_manifest,revision_2026/04_corrected_runs/ElasticNet_H5_predictions_and_metrics,Selection leakage and mixed reporting contexts require full nested revalidation.,high,NO_pending_training_authorization
10,HGBR,1,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,optuna_or_locked_grid_within_outer_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/HGBR_H1_predictions_and_metrics,H1 HGBR prediction and config artifacts are missing in workspace.,high,NO_pending_training_authorization
