excluded_item,item_type,historical_source,reason_excluded,replacement_source,replacement_term,must_be_removed_from,status
point-blend hybrid,model_pathway,results/hybrid_rank_v2_runs and manuscript submitted lineage,superseded by corrected canonical pathways,revision_2026/05_canonical_predictions and revision_2026/06_corrected_hybridrank/h5/fixed_policy,fixed rank ensemble,"main tables, SI tables, figures, reviewer response",excluded
submitted point-blend MAE = 1.7127 mg/L,historical_numeric_claim,submitted manuscript table,superseded by corrected leakage-safe recomputation,tables/final_table2_point_model_comparison.csv,canonical pooled MAE values by model/horizon,main table 2 and text claims,excluded
adaptively tuned HybridRank v2,model_pathway,results/hybrid_rank_v2_runs,held-out-informed adaptive weighting not retained in corrected freeze,revision_2026/06_corrected_hybridrank/h5/fixed_policy,fixed rank ensemble,all final comparative tables and figures,excluded
guarded tuned HybridRank claims,interpretation_claim,historical HybridRank diagnostics,final revised package uses fixed rank ensemble only,revision_2026/06_corrected_hybridrank/h5/fixed_policy,fixed rank ensemble,discussion and reviewer response wording,excluded
held-out-informed adaptive rank-weight selection,method_claim,hybrid rank v2 exploratory branch,not leakage-safe final authority,fixed_hybridrank_h5_weights.csv,fixed documented weights,methods and figures,excluded
superseded Figures 3-5 and old HybridRank v2 sources,figure_source,results/paper_artifacts and results/final_tables,superseded by corrected fold-local budget package,revision_2026/11_final_integration/figures,candidate corrected figure sources,figure source provenance,excluded
old alarm CSVs under results/,data_source,results/metrics and results/predictions,historical submitted lineage only,revision_2026/07_retrospective_alarm_budget and revision_2026/08_sequential_alarm_policy,frozen corrected alarm outputs,final numeric claim derivation,excluded
old manuscript artifact directories under results/paper_artifacts/,artifact_source,results/paper_artifacts,historical generation snapshots,revision_2026 frozen packages,frozen reproducibility packages,final source provenance,excluded
old hybrid_rank_v2_runs,artifact_source,results/hybrid_rank_v2_runs,obsolete adaptive lineage,revision_2026/06_corrected_hybridrank/h5/fixed_policy,fixed rank ensemble,final model comparisons,excluded
tag FINAL_ALARM_MODEL_H5_V2,historical_tag,legacy submitted tag lineage,obsolete submitted authority,retrospective-h5-alarm-budget-v1 and sequential-h5-past-quantile-v1,corrected frozen tags,final authority statements,historical_obsolete
H3-v2 feature artifacts as final H3 model source,feature_source,legacy h3-v2 artifacts,not canonical corrected final source,revision_2026/09_h1_h3_reconciliation,canonical h3 corrected predictions,feature lineage claims,excluded
BCR-TCN results at H1 or H3,model_scope,non-authorized extrapolation,BCR-TCN v1.1 is H5-only,tables/final_table2_point_model_comparison.csv,BCR-TCN v1.1 (H5 only),point model and policy tables at H1/H3,excluded
global pooled top-k calculations that ignore fold-local budgets,evaluation_rule,non-canonical global ranking shortcuts,violates fold-local budget rule,retrospective_h5_alarm_metrics_by_fold.csv,fold-local ceil budget with pooled aggregation,retrospective table generation,excluded
claims that sequential simulations are live/prospective/field deployed,terminology_claim,overstated deployment language,sequential packages are historical simulations,final_sequential_policy_table.csv,historical sequential simulation,"main text, SI, reviewer response",excluded
