model_family,horizon,prediction_artifact_path,artifact_available,outer_purge_status,inner_purge_status,preprocessing_status,selection_status,date_equality_status,recommended_action,rationale
Persistence,1,results/predictions/persistence_H1_preds.csv,YES,FAIL_no_horizon_purge,N/A,PASS_no_fit_object,PASS_no_hyperparameter_search,H1_dates_match_762,recalculate metrics from existing predictions,"No fitting leakage object, but purge and common-date corrections are needed."
Persistence,3,results/predictions/persistence_H3_preds.csv,YES,FAIL_no_horizon_purge,N/A,PASS_no_fit_object,PASS_no_hyperparameter_search,uses_759_not_canonical_747,recalculate metrics from existing predictions,Predictions exist; recompute metrics on corrected purged/canonical dates.
Persistence,5,results/predictions/persistence_v2_H5_preds.csv,YES,FAIL_no_horizon_purge,N/A,PASS_no_fit_object,PASS_no_hyperparameter_search,v2_747_available_and_legacy_759_exists,recalculate metrics from existing predictions,Use canonical 747 set for corrected benchmark comparisons.
Ridge,1,results/predictions/ridge_*_H1_preds.csv,NO,UNKNOWN,UNKNOWN,PASS_pipeline_defined_but_artifact_missing,FAIL_global_cv_model_selection_not_nested,missing,missing model artifact,No released ridge prediction CSV; rerun fixed published alpha grid on corrected folds is needed before comparison.
Ridge,3,results/predictions/ridge_*_H3_preds.csv,NO,UNKNOWN,UNKNOWN,PASS_pipeline_defined_but_artifact_missing,FAIL_global_cv_model_selection_not_nested,missing,missing model artifact,No released ridge prediction CSV; rerun fixed published alpha grid on corrected folds is needed before comparison.
Ridge,5,results/predictions/ridge_*_H5_preds.csv,NO,UNKNOWN,UNKNOWN,PASS_pipeline_defined_but_artifact_missing,FAIL_global_cv_model_selection_not_nested,missing,missing model artifact,No released ridge prediction CSV; rerun fixed published alpha grid on corrected folds is needed before comparison.
ElasticNet,1,results/predictions/enet_a0.1_l0.5_H1_preds.csv,YES,FAIL_no_horizon_purge,N/A,PASS_scaler_fit_per_fold,FAIL_selected_from_same_oof_block,H1_dates_match_762,retrain and revalidate because leakage affected fitting,Hyperparameter/model selection used the same blocked folds later reported; nested revalidation required.
ElasticNet,3,results/predictions/enet_a0.1_l0.5_H3_preds.csv,YES,FAIL_no_horizon_purge,N/A,PASS_scaler_fit_per_fold,FAIL_selected_from_same_oof_block_and_variant_switch,uses_759_not_canonical_747,retrain and revalidate because leakage affected fitting,OOF-driven variant selection across operating points requires nested revalidation on corrected folds.
ElasticNet,5,results/predictions/enet_a0.1_l0.5_v2_H5_preds.csv,YES,FAIL_no_horizon_purge,N/A,PASS_scaler_fit_per_fold,FAIL_selected_from_same_oof_block_and_context_switch,v2_747_vs_legacy_759_contexts,retrain and revalidate because leakage affected fitting,Selection leakage and mixed reporting contexts require full nested revalidation.
HGBR,1,results/predictions/hgbr_optuna_H1_preds.csv,NO,UNKNOWN,UNKNOWN,FAIL_internal_random_validation_not_chronological,FAIL_optuna_on_same_blocked_data,missing,missing model artifact,H1 HGBR prediction and config artifacts are missing in workspace.
HGBR,3,results/predictions/hgbr_optuna_H3_preds.csv,YES,FAIL_no_horizon_purge,FAIL_inner_random_validation_split,FAIL_internal_random_validation_not_chronological,FAIL_optuna_on_same_blocked_data,uses_759_not_canonical_747,retrain and revalidate because leakage affected fitting,Chronology of inner validation and non-nested tuning both require revalidation.
HGBR,5,results/predictions/hgbr_optuna_H5_v2_preds.csv,YES,FAIL_no_horizon_purge,FAIL_inner_random_validation_split,FAIL_internal_random_validation_not_chronological,FAIL_optuna_on_same_blocked_data,v2_747_vs_legacy_759_contexts,retrain and revalidate because leakage affected fitting,Temporal validation and model-selection leakage affect fitted configuration credibility.
TCN/BCR-TCN,1,results/predictions/bcr_tcn_v11_H1_v2_preds.csv,NO,UNKNOWN,UNKNOWN,UNKNOWN_missing_artifact,UNKNOWN_missing_artifact,missing,missing model artifact,No H1 BCR-TCN prediction artifact available.
TCN/BCR-TCN,3,results/predictions/bcr_tcn_v11_H3_v2_preds.csv,NO,UNKNOWN,UNKNOWN,UNKNOWN_missing_artifact,UNKNOWN_missing_artifact,missing,missing model artifact,No H3 BCR-TCN prediction artifact available.
TCN/BCR-TCN,5,results/predictions/bcr_tcn_v11_H5_v2_preds.csv,YES,FAIL_no_horizon_purge,FAIL_no_h_day_gap_before_val_tail,FAIL_inner_tail_without_purge,UNCLEAR_variant_transition_bcr_tcn_to_v11,v2_747_dates,rerun using fixed existing hyperparameters on corrected folds,Keep current hyperparameters but enforce horizon purge before validation/test boundaries.
