claim_id,required_document_action,allowed_document_locations,status
CLAIM_DATASET_RAW_N,use canonical claim statement and value,"manuscript_main,manuscript_si,reviewer_response",pending_editorial_use
CLAIM_DATASET_SHA256,use canonical claim statement and value,"methods,reproducibility,reviewer_response",pending_editorial_use
CLAIM_SPLIT_SHA256,use canonical claim statement and value,"methods,reproducibility",pending_editorial_use
CLAIM_H1_N,use canonical claim statement and value,"main_table1,si_table1,methods",pending_editorial_use
CLAIM_H1_TAU15_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H1_TAU16_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H1_TAU17_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H3_N,use canonical claim statement and value,"main_table1,si_table1,methods",pending_editorial_use
CLAIM_H3_TAU15_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H3_TAU16_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H3_TAU17_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H5_N,use canonical claim statement and value,"main_table1,si_table1,methods",pending_editorial_use
CLAIM_H5_TAU15_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H5_TAU16_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_H5_TAU17_EVENTS,use canonical claim statement and value,"main_table1,results_text,reviewer_response",pending_editorial_use
CLAIM_POINT_ElasticNet_H1_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_HGBR_H1_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_Persistence_H1_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_Ridge_H1_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_ElasticNet_H3_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_HGBR_H3_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_Persistence_H3_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_Ridge_H3_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_BCR_TCN_v1.1_H5_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_ElasticNet_H5_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_HGBR_H5_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_Persistence_H5_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_POINT_Ridge_H5_MAE,use canonical claim statement and value,"main_table2,si_point_metrics,results",pending_editorial_use
CLAIM_RETRO_BCR-TCN_v1.1_H5_T16_R05_RECALL,use canonical claim statement and value,"main_table3,si_alarm_budget,discussion",pending_editorial_use
CLAIM_RETRO_ElasticNet_H5_T16_R05_RECALL,use canonical claim statement and value,"main_table3,si_alarm_budget,discussion",pending_editorial_use
CLAIM_RETRO_HGBR_H5_T16_R05_RECALL,use canonical claim statement and value,"main_table3,si_alarm_budget,discussion",pending_editorial_use
