model,horizon,sensitivity_role,will_be_refitted,final_reference_configuration,non_tnout_feature_source,hyperparameter_source,retuning_allowed,reason_for_inclusion_or_exclusion,limitations
BCR-TCN,5,lineage_context_only,False,LONG,final corrected H5 v2 non-TN feature set (34-column v2 lineage),revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/bcr_tcn_v11_h5_run_manifest.json fixed_configuration,False,Not selected for minimal Stage 2 refitting; retained only for lineage context.,Sensitivity conclusions from Ridge/HGBR do not directly validate BCR-TCN behavior.
ElasticNet,1,frozen_context_only,False,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/elasticnet/elasticnet_run_manifest.json selected_configs_by_fold,False,Excluded from minimal refit because Ridge already represents regularized linear behavior.,Context only; no direct sensitivity rerun in minimal design.
ElasticNet,3,frozen_context_only,False,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/elasticnet/elasticnet_run_manifest.json selected_configs_by_fold,False,Excluded from minimal refit because Ridge already represents regularized linear behavior.,Context only; no direct sensitivity rerun in minimal design.
ElasticNet,5,frozen_context_only,False,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/elasticnet/elasticnet_run_manifest.json selected_configs_by_fold,False,Excluded from minimal refit because Ridge already represents regularized linear behavior.,Context only; no direct sensitivity rerun in minimal design.
HGBR,1,minimal_refit,True,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/hgbr/hgbr_run_manifest.json selected_configurations_by_fold[H1],False,Included as nonlinear tree model; H1 reference remains ordinary corrected TN memory.,No retuning; sensitivity does not optimize parameters.
HGBR,3,minimal_refit,True,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/hgbr/hgbr_run_manifest.json selected_configurations_by_fold[H3],False,Included as nonlinear tree model; H3 reference remains ordinary corrected TN memory.,No retuning; sensitivity does not optimize parameters.
HGBR,5,minimal_refit,True,LONG,final corrected H5 v2 non-TN feature set (34-column v2 lineage),revision_2026/04_controlled_reruns/hgbr/hgbr_run_manifest.json selected_configurations_by_fold[H5],False,Included as nonlinear tree model; LONG is final corrected HGBR-H5 TN-memory reference.,No retuning; sensitivity does not optimize parameters.
Persistence,1,context_only_baseline,False,none_not_applicable,none_naive_baseline,revision_2026/04_controlled_reruns/persistence/persistence_run_manifest.json,False,Context-only naive baseline; no tunable lag-window feature set.,Does not provide tunable memory configuration comparisons.
Persistence,3,context_only_baseline,False,none_not_applicable,none_naive_baseline,revision_2026/04_controlled_reruns/persistence/persistence_run_manifest.json,False,Context-only naive baseline; no tunable lag-window feature set.,Does not provide tunable memory configuration comparisons.
Persistence,5,context_only_baseline,False,none_not_applicable,none_naive_baseline,revision_2026/04_controlled_reruns/persistence/persistence_run_manifest.json,False,Context-only naive baseline; no tunable lag-window feature set.,Does not provide tunable memory configuration comparisons.
Ridge,1,minimal_refit,True,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/ridge/ridge_run_manifest.json selected_alphas_by_fold,False,Included as regularized linear sensitivity model with frozen corrected fold-specific alpha.,"No retuning; conclusions are robustness-oriented, not optimization."
Ridge,3,minimal_refit,True,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/ridge/ridge_run_manifest.json selected_alphas_by_fold,False,Included as regularized linear sensitivity model with frozen corrected fold-specific alpha.,"No retuning; conclusions are robustness-oriented, not optimization."
Ridge,5,minimal_refit,True,REFERENCE,final corrected ordinary non-v2 feature set (18 columns),revision_2026/04_controlled_reruns/ridge/ridge_run_manifest.json selected_alphas_by_fold,False,Included as regularized linear sensitivity model with frozen corrected fold-specific alpha.,"No retuning; conclusions are robustness-oriented, not optimization."
