claim_id,claim_category,preferred_statement,numeric_value,display_value,unit,horizon,threshold,budget,model,policy,aggregation_scope,denominator,source_package,source_file,source_row_key,source_sha256,frozen_tag,peeled_commit,status,allowed_document_locations,prohibited_interpretation,notes
CLAIM_DATASET_RAW_N,dataset,Canonical corrected raw dataset has 1031 rows.,1031,1031,rows,all,na,na,na,na,dataset_lock,rows,corrected_protocol,revision_2026/03_corrected_protocol/canonical_dataset_lock.json,row_count,1554a9381e264f3c84853cc13b23c87883db8383b2fd778774bccb2d43bd535c,corrected-protocol-v1,2bbf5eba419b0650693f1e88326107bf9a346c68,canonical,"manuscript_main,manuscript_si,reviewer_response",do not substitute model-ready N counts,raw lock count
CLAIM_DATASET_SHA256,dataset,Canonical corrected dataset SHA256 is fixed.,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,sha256,all,na,na,na,na,dataset_lock,sha256,corrected_protocol,revision_2026/03_corrected_protocol/canonical_dataset_lock.json,sha256,1554a9381e264f3c84853cc13b23c87883db8383b2fd778774bccb2d43bd535c,corrected-protocol-v1,2bbf5eba419b0650693f1e88326107bf9a346c68,canonical,"methods,reproducibility,reviewer_response",do not replace with historical hashes,dataset lock hash
CLAIM_SPLIT_SHA256,split_protocol,Corrected split assignment SHA256 is fixed.,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,sha256,all,na,na,na,na,split_protocol,sha256,corrected_protocol,revision_2026/03_corrected_protocol/corrected_split_assignment.csv,file,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,corrected-protocol-v1,2bbf5eba419b0650693f1e88326107bf9a346c68,canonical,"methods,reproducibility",do not use historical split hashes,split lock hash
CLAIM_H1_N,canonical_n,Canonical held-out count for H1 is 762.,762,762,rows,H1,na,na,na,na,pooled,held-out canonical rows,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_predictions_wide.csv,horizon=1,223cb82ade8b57836fd1bacf6a0a2d61a5be84027421ba2206f66e07bb6f33d0,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,si_table1,methods",do not use historical N=759 or model-ready N=996,derived from canonical wide y_true
CLAIM_H1_TAU15_EVENTS,event_count,Canonical H1 events at 15 mg/L equal 141.,141,141,events,H1,15,na,na,na,pooled,N=762,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_predictions_wide.csv,horizon=1;threshold=15,223cb82ade8b57836fd1bacf6a0a2d61a5be84027421ba2206f66e07bb6f33d0,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H1_TAU16_EVENTS,event_count,Canonical H1 events at 16 mg/L equal 74.,74,74,events,H1,16,na,na,na,pooled,N=762,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_predictions_wide.csv,horizon=1;threshold=16,223cb82ade8b57836fd1bacf6a0a2d61a5be84027421ba2206f66e07bb6f33d0,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H1_TAU17_EVENTS,event_count,Canonical H1 events at 17 mg/L equal 30.,30,30,events,H1,17,na,na,na,pooled,N=762,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_predictions_wide.csv,horizon=1;threshold=17,223cb82ade8b57836fd1bacf6a0a2d61a5be84027421ba2206f66e07bb6f33d0,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H3_N,canonical_n,Canonical held-out count for H3 is 747.,747,747,rows,H3,na,na,na,na,pooled,held-out canonical rows,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_predictions_wide.csv,horizon=3,0dcd1584449dadd983504f3004f33710839986899103ee6259956a1d38f85a1f,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,si_table1,methods",do not use historical N=759 or model-ready N=996,derived from canonical wide y_true
CLAIM_H3_TAU15_EVENTS,event_count,Canonical H3 events at 15 mg/L equal 134.,134,134,events,H3,15,na,na,na,pooled,N=747,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_predictions_wide.csv,horizon=3;threshold=15,0dcd1584449dadd983504f3004f33710839986899103ee6259956a1d38f85a1f,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H3_TAU16_EVENTS,event_count,Canonical H3 events at 16 mg/L equal 71.,71,71,events,H3,16,na,na,na,pooled,N=747,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_predictions_wide.csv,horizon=3;threshold=16,0dcd1584449dadd983504f3004f33710839986899103ee6259956a1d38f85a1f,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H3_TAU17_EVENTS,event_count,Canonical H3 events at 17 mg/L equal 29.,29,29,events,H3,17,na,na,na,pooled,N=747,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_predictions_wide.csv,horizon=3;threshold=17,0dcd1584449dadd983504f3004f33710839986899103ee6259956a1d38f85a1f,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H5_N,canonical_n,Canonical held-out count for H5 is 747.,747,747,rows,H5,na,na,na,na,pooled,held-out canonical rows,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_predictions_wide.csv,horizon=5,bd0ff5160804c6945fb45e1c52c10d76f95ec1d85b4466f6ff681bed76431d77,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table1,si_table1,methods",do not use historical N=759 or model-ready N=996,derived from canonical wide y_true
